group,name,lat,lng,notes,icon,areaId
ヤックスドラッグ,アタック5 波崎店,35.74865,140.8246,茨城県神栖市波崎8555,shop2,CHIBA_CHOUSHI
ヤックスドラッグ,アタック5 大原店,35.26287,140.39326,千葉県いすみ市若山46-1,shop2,CHIBA_SOTOBOU
,餌しげ釣具店,35.22078,140.37981,千葉県いすみ市小沢1338-2,shop0,CHIBA_SOTOBOU
,天野啓司,35.25385,140.40131,千葉県いすみ市大原10398-40,shop0,CHIBA_SOTOBOU
つり具ランド,大原店,35.27558,140.3954,千葉県いすみ市日在1594-1,shop2,CHIBA_SOTOBOU
セリア,ベイシアいすみ大原店,35.27769,140.39307,千葉県いすみ市日在41ベイシアいすみ大原店 1F,shop4,CHIBA_SOTOBOU
DAISO,ミサキショッピングガーデン店,35.28198,140.38206,千葉県いすみ市岬町大字江場土字関内1857番地,shop4,CHIBA_SOTOBOU
,堀込釣具店,35.3264,140.39882,千葉県いすみ市岬町中原159,shop0,CHIBA_SOTOBOU
セリア,おおたやスーパーランド店,35.28497,140.30556,千葉県いすみ市弥正147,shop4,CHIBA_SOTOBOU
DAISO,旭サンモール店,35.72493,140.65942,千葉県旭市イ-2676旭サンモール店内1階,shop4,CHIBA_CHOUSHI
DAISO,イオンタウン旭店,35.71762,140.66776,千葉県旭市イ4337-1,shop4,CHIBA_CHOUSHI
,大木釣具店,35.71819,140.64941,千葉県旭市ニ2116-1,shop0,CHIBA_CHOUSHI
セリア,カインズスーパーセンター旭飯岡店,35.71486,140.69899,千葉県旭市三川字犬林セの4334-1カインズスーパーセンター旭飯岡店 1F,shop4,CHIBA_CHOUSHI
,御園生釣具店,35.70068,140.72849,千葉県旭市飯岡1933,shop0,CHIBA_CHOUSHI
,渡辺釣具店,35.69934,140.67706,千葉県旭市野中3443-1,shop0,CHIBA_CHOUSHI
,小林釣具店,35.37236,140.3671,千葉県一宮町一宮2637-6,shop0,CHIBA_SOTOBOU
セリア,ビッグホップガーデンモール印西店,35.80307,140.16489,千葉県印西市原1-2ビッグホップガーデンモール印西 1F,shop4,CHIBA_UCHIBOU
DAISO,カインズ千葉ニュータウン店,35.80434,140.12485,千葉県印西市泉野1-144-6 カインズ千葉ニュータウン店内,shop4,CHIBA_UCHIBOU
セリア,フォレストモール印西牧の原店,35.8067,140.17862,千葉県印西市滝野3-1,shop4,CHIBA_UCHIBOU
セリア,フォルテ千葉ニュータウン店,35.79822,140.11366,千葉県印西市中央南2-2-1フォルテ千葉ニュータウン店 2F,shop4,CHIBA_UCHIBOU
DAISO,くすりの福太郎千葉ニュータウン店,35.8028,140.11604,千葉県印西市中央北1-1,shop4,CHIBA_UCHIBOU
DAISO,イオンモール千葉NT店,35.8016,140.11069,千葉県印西市中央北2-2イオンモール千葉NTエンジョイライフ棟2階,shop4,CHIBA_UCHIBOU
DAISO,牧の原モア店,35.80454,140.16643,千葉県印西市牧の原1-3,shop4,CHIBA_UCHIBOU
,佐藤つり具店,35.8405,140.15393,千葉県印西市木下1402,shop0,CHIBA_UCHIBOU
DAISO,マルエツ安食店,35.84135,140.24489,千葉県印旛郡栄町安食台1-3-4マルエツ安食店2階,shop4,CHIBA_UCHIBOU
DAISO,スーパーセンタートライアル酒々井店,35.71762,140.25673,千葉県印旛郡酒々井町本佐倉457-2 スーパーセンタートライアル酒々井店2階,shop4,CHIBA_UCHIBOU
セリア,フォルテ新浦安店,35.64268,139.92548,千葉県浦安市日の出5-1-28フォルテ新浦安 2F,shop4,CHIBA_UCHIBOU
DAISO,イオン新浦安店,35.64906,139.91496,千葉県浦安市入船1-4-1イオンスタイル新浦安3階,shop4,CHIBA_UCHIBOU
セリア,モナ新浦安店,35.64898,139.91318,千葉県浦安市入船1-5-1モナ新浦安B館 3F,shop4,CHIBA_UCHIBOU
DAISO,イクスピアリ店,35.63127,139.87433,千葉県浦安市舞浜1-4 イクスピアリ3階,shop4,CHIBA_UCHIBOU
セリア,西友浦安店,35.66574,139.89453,千葉県浦安市北栄1-14-1西友浦安店 4F,shop4,CHIBA_UCHIBOU
DAISO,浦安駅前店,35.66533,139.89336,千葉県浦安市北栄1-16-5 サカゼン浦安 2階,shop4,CHIBA_UCHIBOU
DAISO,ニューコースト新浦安店,35.64266,139.92258,千葉県浦安市明海4-1-1 ニューコースト新浦安3階,shop4,CHIBA_UCHIBOU
,河井釣具店,35.60733,140.10638,千葉県横芝光町屋形5274-2,shop0,CHIBA_CHOUSHI
DAISO,フォルテ我孫子店,35.87801,140.00722,千葉県我孫子市つくし野4-1-2,shop4,CHIBA_UCHIBOU
セリア,あびこショッピングプラザ店,35.87648,140.00951,千葉県我孫子市我孫子4-11-1あびこショッピングプラザ 3F,shop4,CHIBA_UCHIBOU
上州屋,我孫子店,35.87784,139.998,千葉県我孫子市根戸1187,shop2,CHIBA_UCHIBOU
セリア,フードスクエア我孫子寿店,35.86506,140.02484,千葉県我孫子市寿2-25-41フードスクエア我孫子寿店 2F,shop4,CHIBA_UCHIBOU
DAISO,TAIRAYA湖北店,35.86804,140.07866,千葉県我孫子市中里字庚申前335-1 TAIRAYA湖北店2階,shop4,CHIBA_UCHIBOU
DAISO,我孫子天王台店,35.87218,140.04007,千葉県我孫子市天王台1-24-18,shop4,CHIBA_UCHIBOU
セリア,マルエツ天王台店,35.87061,140.03787,千葉県我孫子市天王台4-15-8マルエツ天王台店 1F,shop4,CHIBA_UCHIBOU
セリア,布佐店,35.85901,140.10968,千葉県我孫子市布佐2499-1,shop4,CHIBA_UCHIBOU
タックルベリー,我孫子水戸街道店,35.8766,140.01996,千葉県我孫子市並木6-13-12,shop2,CHIBA_UCHIBOU
DAISO,我孫子手賀沼公園店,35.86702,140.01405,千葉県我孫子市緑1-9-25 2階,shop4,CHIBA_UCHIBOU
セリア,イオン鎌ヶ谷店,35.77971,140.00137,千葉県鎌ケ谷市新鎌ケ谷2-7-1イオン鎌ヶ谷店 2F,shop4,CHIBA_UCHIBOU
セリア,新鎌ヶ谷店,35.77952,140.00699,千葉県鎌ケ谷市新鎌ケ谷3-16-10,shop4,CHIBA_UCHIBOU
DAISO,アクロス新鎌ヶ谷店,35.78014,140.00142,千葉県鎌ケ谷市新鎌ケ谷二丁目12番1号2階,shop4,CHIBA_UCHIBOU
DAISO,鎌ヶ谷道野辺店,35.75058,140.0011,千葉県鎌ケ谷市東道野辺5-11-38 2階,shop4,CHIBA_UCHIBOU
DAISO,ヨークマート東道野辺店,35.74876,139.9996,千葉県鎌ケ谷市東道野辺5丁目16-38ヨークマート東道野辺店2階,shop4,CHIBA_UCHIBOU
DAISO,くすりの福太郎鎌ヶ谷店,35.76228,140.00032,千葉県鎌ケ谷市道野辺本町2-10-25,shop4,CHIBA_UCHIBOU
上州屋,鎌ヶ谷店,35.76886,139.99945,千葉県鎌ケ谷市富岡1-4-38,shop2,CHIBA_UCHIBOU
タックルベリー,鎌ヶ谷富岡店,35.76757,139.99904,千葉県鎌ケ谷市富岡1-9-28,shop2,CHIBA_UCHIBOU
DAISO,ショッピングプラザ鎌ヶ谷店,35.7709,139.99968,千葉県鎌ケ谷市富岡1丁目1番3号 ショッピングプラザ鎌ヶ谷店2階,shop4,CHIBA_UCHIBOU
,おおみや釣具バイパス店,35.10849,140.09906,千葉県鴨川市横渚195-1,shop0,CHIBA_MINAMI
DAISO,イオン鴨川店,35.10868,140.1028,千葉県鴨川市横渚973-1イオン鴨川店3階,shop4,CHIBA_MINAMI
ヤックスドラッグ,アタック5 鴨川店,35.10675,140.10204,千葉県鴨川市横渚字鎌田105,shop2,CHIBA_MINAMI
セリア,ベイシア鴨川店,35.09779,140.0918,千葉県鴨川市貝渚字中川間300ベイシア鴨川店 1F,shop4,CHIBA_MINAMI
,近江屋釣具店,35.09949,140.103,千葉県鴨川市前原122,shop0,CHIBA_MINAMI
,高梨釣具店,35.12404,140.15985,千葉県鴨川市天津1538-3,shop0,CHIBA_MINAMI
,市原釣具店,35.12117,140.18094,千葉県鴨川市天津3415,shop0,CHIBA_MINAMI
,太洋釣具餌センター,34.98821,139.85326,千葉県館山市館山95-63,shop0,CHIBA_MINAMI
,鈴木釣具店,34.9846,139.84238,千葉県館山市沼985,shop0,CHIBA_MINAMI
,まるへい民宿,34.9846,139.84238,千葉県館山市沼985-10,shop0,CHIBA_MINAMI
ヤックスドラッグ,アタック5 館山バイパス店,35.02615,139.87665,千葉県館山市正木字道免830,shop2,CHIBA_MINAMI
,佐野釣具店,34.97316,139.78308,千葉県館山市波左間619,shop0,CHIBA_MINAMI
DAISO,イオンタウン館山店,35.00626,139.86298,千葉県館山市八幡545-1イオンタウン館山店内,shop4,CHIBA_MINAMI
つり具ランド,館山店,35.00394,139.86186,千葉県館山市八幡623-16,shop2,CHIBA_MINAMI
,サウスエンド,35.00394,139.86186,千葉県館山市八幡637-9,shop0,CHIBA_MINAMI
DAISO,館山マーケットプレイス店,35.00746,139.87025,千葉県館山市湊188-1,shop4,CHIBA_MINAMI
,北見釣具店,35.15301,139.83722,千葉県鋸南町元名136,shop0,CHIBA_MINAMI
