name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
IBARAKI,9,parent,36.3638,140.2805,,080000,茨城県,,,
北茨城エリア,10,HITACHI,36.6661,140.5075,IBARAKI,x:1;y:1,,,,
霞ヶ浦エリア,9.5,KASUMIGAURA,36.115,140.48,IBARAKI,x:1;y:0,,,,
つくばエリア,10,TSUKUBA,36.1423,139.9335,IBARAKI,x:0;y:0,,,,
那珂川河口,15.5,1,36.336229,140.589523,IBARAKI_HITACHI,,First/0803/0804,spot,,
平潟漁港,16,2,36.857925,140.795878,IBARAKI_HITACHI,,First/0706/0802,spot,,assistant
大津港,15,3,36.827286,140.788443,IBARAKI_HITACHI,,,spot,,
川尻港,16.5,4,36.650638,140.70055,IBARAKI_HITACHI,,Second//,spot,,assistant
日立会瀬港,16,5,36.576919,140.658592,IBARAKI_HITACHI,,,spot,,
日立港,15.5,6,36.486081,140.617137,IBARAKI_HITACHI,,First/0802/,spot,,substitute
磯崎港,16.5,7,36.38491,140.621651,IBARAKI_HITACHI,,First/0802/0803,spot,,
平磯港,16,8,36.354503,140.612694,IBARAKI_HITACHI,,First/0802/0803,spot,,
那珂湊港,15.5,9,36.34188,140.599901,IBARAKI_HITACHI,,First/0803/,spot,,representative
久慈港,16,10,36.50134,140.628937,IBARAKI_HITACHI,,,spot,,
九ノ﨑海岸,16,11,36.849235,140.798281,IBARAKI_HITACHI,,,spot,,ort
港公園,14,12,35.913941,140.672507,IBARAKI_KASUMIGAURA,,First/0804/1202,spot,,
鹿島釣り園,16,13,35.937867,140.702022,IBARAKI_KASUMIGAURA,,First/0804/,fish1,,representative
北浦北部,13,L01,36.105432,140.529814,IBARAKI_KASUMIGAURA,,,spot,,special$assistant
北浦中部,13,L02,36.033137,140.567923,IBARAKI_KASUMIGAURA,,,spot,,special
北浦南部,13,L03,35.96577,140.600538,IBARAKI_KASUMIGAURA,,,spot,,special
恋瀬川周辺,13,L04,36.149388,140.32073,IBARAKI_KASUMIGAURA,,,spot,,special
霞ヶ浦大橋北側,13,L05,36.128283,140.37755,IBARAKI_KASUMIGAURA,,,spot,,special
土浦港周辺,13,L06,36.075744,140.214987,IBARAKI_KASUMIGAURA,,,spot,,special$assistant
霞ヶ浦中部,13,L07,36.05022,140.303564,IBARAKI_KASUMIGAURA,,,spot,,special
霞ヶ浦大橋周辺,13,L08,36.073107,140.392313,IBARAKI_KASUMIGAURA,,,spot,,special
外浪逆浦,13,L09,35.902677,140.596075,IBARAKI_KASUMIGAURA,,,spot,,special
常陸利根川,13.5,L10,35.849758,140.686705,IBARAKI_KASUMIGAURA,,,spot,,special
堀割川,15.5,L11,35.932604,140.637439,IBARAKI_KASUMIGAURA,,,spot,,
北利根川周辺,13,L12,35.94008,140.524149,IBARAKI_KASUMIGAURA,,,spot,,special
霞ヶ浦東岸,13,L13,36.014816,140.465784,IBARAKI_KASUMIGAURA,,,spot,,
