group,name,lat,lng,notes,icon,areaId
DAISO,かすみがうら稲吉店,36.12388,140.24677,茨城県かすみがうら市稲吉2-17-3,shop4,IBARAKI_KASUMIGAURA
DAISO,ピアシティ富士見ヶ丘店,36.00404,140.0331,茨城県つくばみらい市富士見ヶ丘1丁目1番,shop4,IBARAKI_TSUKUBA
DAISO,さくらの杜ショッピングセンター店,36.106345,140.127106,茨城県つくば市さくらの森25-1,shop4,IBARAKI_TSUKUBA
DAISO,ライフガーデンみどりの店,36.02754,140.05721,茨城県つくば市みどりの中央11番7,shop4,IBARAKI_TSUKUBA
DAISO,コーナンつくば学園の森店,36.0996,140.07901,茨城県つくば市学園の森2丁目34番地6,shop4,IBARAKI_TSUKUBA
DAISO,イーアスつくば店,36.08858,140.08458,茨城県つくば市研究学園5丁目19番地イーアスつくば店2階,shop4,IBARAKI_TSUKUBA
DAISO,トナリエクレオつくば店,36.08047,140.11198,茨城県つくば市吾妻1-7-1 トナリエクレオ3階,shop4,IBARAKI_TSUKUBA
DAISO,FOOD OFFストッカー牛久ししこ店,35.9887,140.13951,茨城県つくば市高見原1丁目3番地10,shop4,IBARAKI_TSUKUBA
DAISO,ヨークベニマルつくば竹園店,36.08019,140.11699,茨城県つくば市竹園1-3-1 ヨークベニマルつくば竹園店内,shop4,IBARAKI_TSUKUBA
DAISO,つくば筑穂店,36.13477,140.08527,茨城県つくば市筑穂1-13-6,shop4,IBARAKI_TSUKUBA
DAISO,ピアシティ万博記念公園駅前店,36.06036,140.05168,茨城県つくば市島名福田坪土地区画整理B48街区1,shop4,IBARAKI_TSUKUBA
DAISO,茨城谷和原店,35.979425,139.982975,茨城県つくみらい市小絹761,shop4,IBARAKI_TSUKUBA
DAISO,カスミ那珂湊店,36.3456,140.58208,茨城県ひたちなか市栄町2-13-25 カスミ那珂湊店内,shop4,IBARAKI_HITACHI
DAISO,Standard Products ニューポートひたちなか店,36.404371,140.588813,茨城県ひたちなか市新光町35 ニューポートひたちなかファッションクルーズ1階,shop4,IBARAKI_HITACHI
DAISO,ニューポートひたちなか店,36.40681,140.58694,茨城県ひたちなか市新光町35ニューポートひたちなかファッションクルーズ,shop4,IBARAKI_HITACHI
DAISO,ヨークベニマル佐和店,36.42553,140.54295,茨城県ひたちなか市大字高場1484,shop4,IBARAKI_HITACHI
DAISO,勝田ひたちなか店,36.39826,140.52769,茨城県ひたちなか市東石川204-1,shop4,IBARAKI_HITACHI
DAISO,ヨークタウンひたちなか店,36.41602,140.52855,茨城県ひたちなか市東石川3614-1,shop4,IBARAKI_HITACHI
DAISO,ひたちなか店,36.34923,140.57713,茨城県ひたちなか市峰後7-7,shop4,IBARAKI_HITACHI
DAISO,茨城荒川沖店,36.03411,140.17523,茨城県稲敷郡阿見町うずら野二丁目5番地1,shop4,IBARAKI_KASUMIGAURA
DAISO,カスミ阿見店,36.03891,140.21492,茨城県稲敷郡阿見町中郷2-7-24 カスミ阿見店2階,shop4,IBARAKI_KASUMIGAURA
DAISO,江戸崎SC店,35.96033,140.31898,茨城県稲敷市江戸崎4836江戸崎SC店2階,shop4,IBARAKI_KASUMIGAURA
DAISO,パルナ西代店,35.91889,140.48776,茨城県稲敷市西代1495ショッピングセンターパルナ店2階,shop4,IBARAKI_KASUMIGAURA
DAISO,境大橋店,36.10194,139.7968,茨城県猿島郡境町1327-1,shop4,IBARAKI_TSUKUBA
DAISO,カスミ下妻ふるさわ店,36.18117,139.97829,茨城県下妻市古沢字屋敷東552-1 カスミフードスクエア下妻ふるさわ店内,shop4,IBARAKI_TSUKUBA
DAISO,下妻千代川店,36.16913,139.9673,茨城県下妻市小島912-2,shop4,IBARAKI_TSUKUBA
DAISO,カスミ下妻店,36.18177,139.95216,茨城県下妻市大字長塚24-1カスミ下妻店2階,shop4,IBARAKI_TSUKUBA
DAISO,ピアシティ友部旭町店,36.32665,140.32071,茨城県笠間市旭町453-1,shop4,IBARAKI_KASUMIGAURA
DAISO,アクロスプラザ笠間店,36.39458,140.25284,茨城県笠間市寺崎1-1アクロスプラザ笠間内,shop4,IBARAKI_KASUMIGAURA
DAISO,友部スクエア店,36.31615,140.31961,茨城県笠間市住吉字細谷1364-1外,shop4,IBARAKI_KASUMIGAURA
DAISO,カスミ笠間店,36.38379,140.24545,茨城県笠間市石井2096番地,shop4,IBARAKI_KASUMIGAURA
DAISO,イオン笠間店,36.39078,140.25052,茨城県笠間市赤坂8 イオン笠間店2階,shop4,IBARAKI_KASUMIGAURA
DAISO,友部東平店,36.34865,140.31451,茨城県笠間市東平3丁目1470-1930,shop4,IBARAKI_KASUMIGAURA
DAISO,アクロスプラザひたち野うしく店,36.0071,140.16389,茨城県牛久市ひたち野東2-7-3アクロスプラザひたち野うしく内,shop4,IBARAKI_KASUMIGAURA
DAISO,牛久栄町店,35.9855,140.15393,茨城県牛久市栄町4丁目36-1,shop4,IBARAKI_KASUMIGAURA
DAISO,エスカード牛久店,35.97548,140.13991,茨城県牛久市牛久町280 エスカード牛久2階,shop4,IBARAKI_KASUMIGAURA
DAISO,カスミフードスクエア牛久店,35.96896,140.15155,茨城県牛久市神谷6-1-3,shop4,IBARAKI_KASUMIGAURA
DAISO,ヨークタウン結城店,36.30614,139.868326,茨城県結城市結城11839番地1,shop4,IBARAKI_TSUKUBA
DAISO,結城店,36.28835,139.86613,茨城県結城市新福寺6丁目1-8,shop4,IBARAKI_TSUKUBA
DAISO,古河鴻巣店,36.17634,139.70642,茨城県古河市鴻巣956-1,shop4,IBARAKI_TSUKUBA
DAISO,カスミ古河諸川店,36.20678,139.80785,茨城県古河市諸川2013,shop4,IBARAKI_TSUKUBA
DAISO,ベルク古河諸川店,36.19963,139.82339,茨城県古河市諸川498-2 ベルク古河諸川店1階,shop4,IBARAKI_TSUKUBA
DAISO,マーケットシティ古河店,36.20878,139.70825,茨城県古河市松並2丁目18-10マーケットシティ古河C棟,shop4,IBARAKI_TSUKUBA
