name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
KANAGAWA,9.5,parent,35.33,139.45,,140000,神奈川県,,,
川崎横浜エリア,11,YOKOHAMA,35.5165,139.7,KANAGAWA,x:2;y:0,,,,
三浦半島エリア,11,MIURA,35.245,139.63,KANAGAWA,x:1;y:0,,,,
湘南西湘エリア,10,SEISHO,35.351,139.295,KANAGAWA,x:0;y:0,,,,
観音崎,17.5,1,35.256762,139.745634,KANAGAWA_MIURA,,First/1410/1212,spot,,assistant
伊勢山﨑・三軒家崎,16,2,35.26118,139.739732,KANAGAWA_MIURA,,,spot,,
鴨居港・たたら浜,15.5,3,35.249036,139.738386,KANAGAWA_MIURA,,Second/久里浜港/観音崎,spot,,
アシカ島,18,4,35.212128,139.735362,KANAGAWA_MIURA,,,spot,,
旗山崎,16.5,5,35.266717,139.731444,KANAGAWA_MIURA,,Second/猿島/観音崎,spot,,
燈明崎・千代ヶ崎,16.5,6,35.23108,139.728425,KANAGAWA_MIURA,,,spot,,
東電防波堤,16,7,35.213476,139.724668,KANAGAWA_MIURA,,Second/久里浜港/野比海岸,spot,,
浦賀港,16.5,8,35.240994,139.721278,KANAGAWA_MIURA,,Second/久里浜港/観音崎,spot,,
久里浜港,16,9,35.224078,139.716064,KANAGAWA_MIURA,,First/1410/,spot,,
大津港新堤防,18,10,35.265231,139.69639,KANAGAWA_MIURA,,Second/猿島/観音崎,spot,,
猿島,16.5,11,35.28573,139.694528,KANAGAWA_MIURA,,First/1407/1212,spot,,
横須賀海辺つり公園,17,12,35.268476,139.691071,KANAGAWA_MIURA,,Second/猿島/観音崎,spot,,
野比海岸,16,13,35.20725,139.686474,KANAGAWA_MIURA,,First/1413/1410,spot,,
うみかぜ公園,16.5,14,35.276612,139.683559,KANAGAWA_MIURA,,,spot,,
野島防波堤,15,15,35.323673,139.668953,KANAGAWA_MIURA,,First/1403/1407,spot,,
福浦埋立地,15,16,35.347615,139.65256,KANAGAWA_MIURA,,Second/野島防波堤/杉田臨海緑地,spot,,
幸浦埋立地・長浜水路,16,17,35.358886,139.651283,KANAGAWA_MIURA,,Second/野島防波堤/杉田臨海緑地,spot,,
アイクル横,17.5,18,35.313258,139.646305,KANAGAWA_MIURA,,,spot,,
観音山下の磯,17,19,35.138081,139.640206,KANAGAWA_MIURA,,,spot,,
海の公園,15.5,20,35.337858,139.638214,KANAGAWA_MIURA,,,spot,,
野島公園,16,21,35.327907,139.636477,KANAGAWA_MIURA,,First/1403/1407,spot,,
三崎港,15,22,35.140931,139.617412,KANAGAWA_MIURA,,,spot,,representative
灘ヶ崎,17.5,23,35.137534,139.610239,KANAGAWA_MIURA,,Second/暮浜港/城ヶ島黒島堤防,spot,,
佐島港,16.5,24,35.222403,139.609818,KANAGAWA_MIURA,,Second/逗子海岸/暮浜港,spot,,
長井仮屋港,16.5,25,35.207268,139.608862,KANAGAWA_MIURA,,,spot,,
暮浜港,18,26,35.193788,139.608928,KANAGAWA_MIURA,,First/1419/1413,spot,,
下山川,18,27,35.26149,139.580722,KANAGAWA_MIURA,,,spot,,
逗子海岸,16.5,28,35.289755,139.573176,KANAGAWA_MIURA,,First/1419/1407,spot,,
葉山あぶずり港,17,29,35.284356,139.567078,KANAGAWA_MIURA,,Second/逗子海岸/暮浜港,spot,,substitute
平潟湾,15.5,30,35.328375,139.627411,KANAGAWA_MIURA,,First/1403/1407,spot,,assistant
深浦湾,16.5,31,35.309444,139.639284,KANAGAWA_MIURA,,First/1403/1407,spot,,
城ヶ島黒島堤防,17,32,35.133176,139.62688,KANAGAWA_MIURA,,First/1413/,spot,,
ゴミ捨て下,17.5,33,35.139855,139.658899,KANAGAWA_MIURA,,First/1413/1410,spot,,
久留和港,17,34,35.246932,139.591518,KANAGAWA_MIURA,,Second/江ノ島/暮浜港,spot,,
名向﨑,17.5,35,35.157576,139.613782,KANAGAWA_MIURA,,Second/暮浜港/城ヶ島黒島堤防,spot,,
海上イケス釣堀J'sフィッシング,,36,35.13348,139.61708,KANAGAWA_MIURA,,神奈川県三浦市三崎町城ヶ島６５０−７０,fish1,,
江ノ島,16,1,35.304128,139.481295,KANAGAWA_SEISHO,,First/1419/,spot,,representative
