group,name,lat,lng,notes,icon,areaId
DAISO,相鉄ライフいずみ野店,35.4306925,139.4905302,神奈川県横浜市泉区和泉町6214-1相鉄ライフいずみ野2階,shop4,KANAGAWA_YOKOHAMA
DAISO,横浜弘明寺店,35.4240461,139.5877583,神奈川県横浜市南区弘明寺町270 2階,shop4,KANAGAWA_YOKOHAMA
DAISO,海老名かしわ台店,35.4646834,139.4096946,神奈川県海老名市柏ケ谷3-4-8,shop4,KANAGAWA_SEISHO
DAISO,三浦海岸店,35.1886302,139.6548088,神奈川県三浦市南下浦町上宮田字木ノ間1434-3,shop4,KANAGAWA_MIURA
DAISO,ジアウトレット湘南平塚店,35.3925682,139.362666,神奈川県平塚市大神字一之堰605 ジ アウトレット湘南平塚 1202ダイソー,shop4,KANAGAWA_SEISHO
DAISO,平塚田村店,35.3728133,139.3639245,神奈川県平塚市田村7丁目6237,shop4,KANAGAWA_SEISHO
DAISO,マルエツ中津店,35.5155,139.33829,神奈川県愛甲郡愛川町中津3397-1マルエツ中津店2階,shop4,KANAGAWA_SEISHO
DAISO,マルエツ綾瀬店,35.41397,139.44508,神奈川県綾瀬市上土棚南1-8-25マルエツ綾瀬店 1階,shop4,KANAGAWA_SEISHO
DAISO,MEGAドン・キホーテ綾瀬店,35.45869,139.42722,神奈川県綾瀬市大上2-1-1MEGAドン・キホーテ綾瀬店2階,shop4,KANAGAWA_SEISHO
DAISO,アクロス伊勢原店,35.40213,139.34467,神奈川県伊勢原市歌川2-5-1,shop4,KANAGAWA_SEISHO
DAISO,イトーヨーカドー伊勢原店,35.39496,139.31502,神奈川県伊勢原市桜台1丁目8-1 イトーヨーカドー伊勢原店5階,shop4,KANAGAWA_SEISHO
DAISO,伊勢原田中店,35.40142,139.31404,神奈川県伊勢原市田中257-1,shop4,KANAGAWA_SEISHO
DAISO,伊勢原エムアイプラザ店,35.4029,139.29576,神奈川県伊勢原市板戸8番,shop4,KANAGAWA_SEISHO
