name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
KANTO,8.5,,35.729217,139.85857,,,関東地方,,,region
CHIBA,0.15/9,,34.7/36.0,139.6/141.1,120000,KANTO/CHIBA_location.csv,千葉県,,,
KANAGAWA,0.15/9.5,,34.9/35.75,138.9/139.9,140000,KANTO/KANAGAWA_location.csv,神奈川県,,,
安中,,F000,36.327242,138.882651,,,First/F010/F006,station,,
宇都宮,,F001,36.7163,139.990635,,,First/F025/F004,station,,
奥多摩,,F002,35.876896,139.272048,,,First/F024/F018,station,,
花園渓谷,,F003,36.91156,140.620193,,,First,station,,
鬼怒川,,F004,36.354929,139.915009,,,First,station,,
熊谷,,F005,36.138015,139.470062,,,First/F017/F010,station,,
軽井沢,,F006,36.34285,138.575795,,,First,station,,
御前山,,F007,35.804355,138.918581,,,First/F008/F018,station,,
甲武信ヶ岳,,F008,35.971394,138.534508,,,First,station,,
高原山,,F009,36.89313,139.764377,,,First,station,,
高崎,,F010,36.307237,139.163289,,,First,station,,
三本槍岳,,F011,37.093585,139.853897,,,First,station,,
山中湖,,F012,35.415074,138.876972,,,First,station,,
榛名山,,F013,36.585308,138.833127,,,First/F006/F014,station,,
水上,,F014,36.644196,139.069061,,,First,station,,
西御荷鉾山,,F015,36.147829,138.790886,,,First/F008/F010,station,,
千葉内陸,,F016,35.617315,140.285797,,,First,station,,
川越,,F017,35.971465,139.763957,,,First,station,,
相模原,,F018,35.54109,139.444656,,,First,station,,
相模湖,,F019,35.616925,139.124463,,,First,station,,
足利銅山,,F020,36.550669,139.357501,,,First/F010/F028,station,,
滝川渓谷,,F021,36.860616,140.4247,,,First,station,,
丹沢山,,F022,35.484091,139.137383,,,First,station,,
筑波山,,F023,36.197278,140.138722,,,First,station,,
秩父,,F024,36.011387,139.07832,,,First,station,,
那須,,F025,36.991836,140.044785,,,First,station,,
南房総,,F026,35.257463,140.056667,,,First,station,,
日光,,F027,36.594356,139.695431,,,First/F004/F028,station,,
白根山,,F028,36.728447,139.450723,,,First,station,,
箱根,,F029,35.214601,139.009375,,,First,station,,
八溝山,,F030,36.97317,140.266902,,,First,station,,
府中,,F031,35.753015,139.590912,,,First/F017/F018,station,,
茂木,,F032,36.556013,140.278244,,,First/F023/F021,station,,
野田,,F033,35.8267,140.013885,,,First/F016/F017,station,,
利根川下流,,F034,35.856781,140.234299,,,First/F016/F023,station,,
香取,,S001,35.891421,140.491791,,,Second/F034/0804,station,,
匝瑳,,S002,35.69298,140.563202,,,Second/F016/1202,station,,
スカイツリー,,S003,35.74874,139.879303,,,Second/F017/1314,station,,
世田谷,,S004,35.697481,139.717255,,,Second/F031/1314,station,,
港北,,S005,35.583551,139.618378,,,Second/F031/1403,station,,
伊勢原,,S006,35.424844,139.286041,,,Second/F022/1419,station,,
綾瀬市,,S007,35.411404,139.470062,,,Second/F018/1419,station,,
八王子,,S008,35.746137,139.371185,,,Second/F018/F002,station,,
秦野市,,S009,35.36655,139.115753,,,Second/F022/F029,station,,
大月市,,S010,35.641529,138.907013,,,Second/F007/F012,station,,
柏,,S011,35.748752,140.126495,,,Second/F016/F033,station,,
成田,,S012,35.806734,140.414886,,,Second/F034/1202,station,,
大多喜,,S013,35.213892,140.189667,,,Second/F026/1205,station,,
亀山,,S014,35.164469,140.071564,,,Second/F026/1206,station,,
戸面原,,S015,35.155798,139.975433,,,Second/F026/1208,station,,
