group,name,lat,lng,notes,icon,areaId
DAISO,フォルテ桐生店,36.394519,139.299763,群馬県みどり市笠懸町阿佐美2761-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,大間々さくらもーる店,36.413859,139.281491,群馬県みどり市大間々町大字大間々40番地大間々ショッピングセンター2階,shop4,SAITAMAGUNMA_GUNMA
DAISO,安中郷原SC店,36.30885,138.84854,群馬県安中市郷原249-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,トライアル安中店,36.31943,138.8773,群馬県安中市原市362,shop4,SAITAMAGUNMA_GUNMA
DAISO,群馬安中店,36.33212,138.92189,群馬県安中市中宿2100-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォリオ伊勢崎安堀店,36.33744,139.1859,群馬県伊勢崎市安堀町190,shop4,SAITAMAGUNMA_GUNMA
DAISO,オトナリマート伊勢崎下道寺店,36.27734,139.1962,群馬県伊勢崎市下道寺町510-5,shop4,SAITAMAGUNMA_GUNMA
DAISO,いせさきガーデンズ店,36.32904,139.16418,"群馬県伊勢崎市宮子町3406-3 いせさきガーデンズ1階",shop4,SAITAMAGUNMA_GUNMA
DAISO,ミスターマックス伊勢崎店,36.32897,139.15118,"群馬県伊勢崎市宮子町3556-1 ミスターマックス伊勢崎店内",shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ境店,36.28108,139.25717,群馬県伊勢崎市境百々東21-3,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォリオ赤堀店,36.379144,139.243891,群馬県伊勢崎市曲沢町196-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,MEGAドン・キホーテUNY伊勢崎東店,36.3296,139.23421,"群馬県伊勢崎市三室町5330 MEGAドン・キホーテUNY伊勢崎東店2階",shop4,SAITAMAGUNMA_GUNMA
DAISO,ベイシア赤堀店,36.36961,139.22455,群馬県伊勢崎市市場町1-1542ベイシア赤堀モール内,shop4,SAITAMAGUNMA_GUNMA
DAISO,"Standard Products スマーク伊勢崎店",36.33959,139.23239,"群馬県伊勢崎市西小保方町368 スマーク伊勢崎店3階",shop4,SAITAMAGUNMA_GUNMA
DAISO,スマーク伊勢崎店,36.33959,139.23239,群馬県伊勢崎市西小保方町368スマーク伊勢崎店内3階,shop4,SAITAMAGUNMA_GUNMA
DAISO,西友楽市伊勢崎茂呂店,36.2972247,139.2133299,群馬県伊勢崎市南千木町5202-3,shop4,SAITAMAGUNMA_GUNMA
DAISO,伊勢崎店,36.3150951,139.1841976,群馬県伊勢崎市連取元町168-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,メガセンタートライアル伊勢崎店,36.31634,139.18216,"群馬県伊勢崎市連取町1507-1 メガセンタートライアル伊勢崎店2階",shop4,SAITAMAGUNMA_GUNMA
DAISO,"Standard Products かんらショッピングパーク店",36.260462,138.936905,"群馬県甘楽郡甘楽町福島久保田384-1 かんらSP1階",shop4,SAITAMAGUNMA_GUNMA
DAISO,かんらショッピングパーク店,36.260462,138.936905,"群馬県甘楽郡甘楽町福島久保田384-1 かんらSP1階",shop4,SAITAMAGUNMA_GUNMA
DAISO,アクロス館林店,36.24134,139.50032,群馬県館林市近藤町178-118,shop4,SAITAMAGUNMA_SAITAMA
DAISO,館林店,36.23974,139.53822,群馬県館林市松原1丁目3-28,shop4,SAITAMAGUNMA_SAITAMA
DAISO,セイムス館林北店,36.25561,139.53662,"群馬県館林市朝日町27-4 セイムス館林北店内",shop4,SAITAMAGUNMA_SAITAMA
DAISO,"Standard Products 館林アゼリアモール店",36.24085,139.56979,"群馬県館林市楠町3622-4 館林アゼリアモールB館2階",shop4,SAITAMAGUNMA_SAITAMA
DAISO,館林アゼリアモール店,36.24085,139.56979,群馬県館林市楠町3622-4B館2階,shop4,SAITAMAGUNMA_SAITAMA
DAISO,とりせん富士見町店,36.24348,139.52502,群馬県館林市富士見町12-60,shop4,SAITAMAGUNMA_SAITAMA
DAISO,桐生広沢店,36.389,139.33516,群馬県桐生市広沢町間の島202,shop4,SAITAMAGUNMA_GUNMA
DAISO,マーケットシティ桐生店,36.40504,139.31856,群馬県桐生市相生町1-124-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,ヤオコー中之条店,36.5858009,138.8468693,"群馬県吾妻郡中之条町大字中之条1864-1 ヤオコー中之条店2階",shop4,SAITAMAGUNMA_GUNMA
DAISO,高崎引間町店,36.39402,139.00754,群馬県高崎市引間町1078-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,高崎倉賀野バイパス店,36.30942,139.03587,群馬県高崎市下之城町516番地1,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォルテ高崎下豊岡店,36.3343954,138.9852903,群馬県高崎市下豊岡町893番地,shop4,SAITAMAGUNMA_GUNMA
DAISO,パワーセンター吉井店,36.25826,138.98982,群馬県高崎市吉井町池52-1パワーセンターうおかつ吉井店内,shop4,SAITAMAGUNMA_GUNMA
DAISO,高崎高関店,36.32814,139.02966,群馬県高崎市高関町404,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ新保店,36.34945,139.03667,群馬県高崎市新保町308-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,ミスターマックス倉賀野SC店,36.30099,139.0553,群馬県高崎市倉賀野町4691-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,とりせん群馬町店,36.37218,139.00168,群馬県高崎市中泉町605-26,shop4,SAITAMAGUNMA_GUNMA
DAISO,はるなパワーセンター店,36.3703,138.90536,群馬県高崎市中里見町根岸373はるなパワーセンター店内,shop4,SAITAMAGUNMA_GUNMA
DAISO,イオンモール高崎店,36.39038,139.00658,"群馬県高崎市棟高町1400 イオンモール高崎2階",shop4,SAITAMAGUNMA_GUNMA
DAISO,高崎モントレー店,36.32161,139.01311,群馬県高崎市八島町222高崎駅ビル・モントレー5階,shop4,SAITAMAGUNMA_GUNMA
DAISO,ウニクス高崎店,36.33978,139.00638,群馬県高崎市飯塚町1150-5ウニクス高崎内2階,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ箕郷店,36.39222,138.96127,群馬県高崎市箕郷町上芝7-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,玉村店,36.30156,139.12616,群馬県佐波郡玉村町大字上飯島277とりせんドラッグウエル店内,shop4,SAITAMAGUNMA_GUNMA
DAISO,渋川金井店,36.50602,138.99591,群馬県渋川市金井字原1223-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,やまや渋川店,36.4733224,138.9998594,群馬県渋川市行幸田315-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,とりせん渋川店,36.47931,139.00232,群馬県渋川市行幸田63-1とりせん渋川店2階,shop4,SAITAMAGUNMA_GUNMA
DAISO,とりせん子持店,36.52126,139.00822,群馬県渋川市吹屋660-34,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ沼田栄町店,36.63642,139.04633,群馬県沼田市栄町215-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,"Standard Products ベイシア沼田モール店",36.6661989,139.1084801,"群馬県沼田市久屋原町字吉野420-1 ベイシア沼田モール内",shop4,SAITAMAGUNMA_GUNMA
DAISO,ベイシア沼田モール店,36.6661989,139.1084801,"群馬県沼田市久屋原町字吉野420-1 ベイシア沼田モール内",shop4,SAITAMAGUNMA_GUNMA
DAISO,ベルク沼田店,36.64473,139.05708,"群馬県沼田市東原新町1445 ベルク沼田内",shop4,SAITAMAGUNMA_GUNMA
DAISO,フォリオ駒形店,36.35192,139.12935,群馬県前橋市下大島町1151-1フォリオ駒形SC内,shop4,SAITAMAGUNMA_GUNMA
DAISO,セキチュー前橋関根店,36.43224,139.05348,群馬県前橋市関根町1-2-43,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ元総社蒼海店,36.393785,139.031331,群馬県前橋市元総社町1835,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォレストモール新前橋店,36.37704,139.04572,群馬県前橋市古市町180-1フォレストモール新前橋B棟,shop4,SAITAMAGUNMA_GUNMA
DAISO,前橋南ショッピングパーク店,36.34328,139.0806,群馬県前橋市公田町670-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,とりせんローズタウンSM店,36.3957,139.13904,群馬県前橋市江木町1030-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ荒牧店,36.42566,139.05728,群馬県前橋市荒牧町1丁目10-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,前橋リリカ店,36.40461,139.06802,群馬県前橋市国領町2-14-1前橋リリカ2階,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ片貝店,36.39518,139.09453,群馬県前橋市西片貝町1-314-3,shop4,SAITAMAGUNMA_GUNMA
DAISO,フレッセイ大胡店,36.41132,139.15927,"群馬県前橋市大胡町399 フレッセイ大胡店内",shop4,SAITAMAGUNMA_GUNMA
DAISO,前橋天川大島店,36.36768,139.10509,群馬県前橋市天川大島町118-2,shop4,SAITAMAGUNMA_GUNMA
DAISO,ベイシア前橋富士見店,36.43317,139.06763,群馬県前橋市富士見町原之郷字旭久保643番地,shop4,SAITAMAGUNMA_GUNMA
DAISO,"Standard Products ベイシア前橋おおごモール店",36.41459,139.14551,群馬県前橋市堀越町甲二本松381番,shop4,SAITAMAGUNMA_GUNMA
DAISO,ベイシア前橋おおごモール店,36.41459,139.14551,群馬県前橋市堀越町甲二本松381番,shop4,SAITAMAGUNMA_GUNMA
DAISO,ヤオコー前橋六供町店,36.37392,139.07098,"群馬県前橋市六供町4-7-5 ヤオコー前橋六供町店",shop4,SAITAMAGUNMA_GUNMA
DAISO,とりせん下田島店,36.26607,139.31778,群馬県太田市下田島町1094-1,shop4,SAITAMAGUNMA_SAITAMA
DAISO,とりせん城西の杜店,36.31467,139.33362,群馬県太田市城西町80-1,shop4,SAITAMAGUNMA_SAITAMA
DAISO,とりせん太田新井店,36.28446,139.36755,群馬県太田市新井町377-14,shop4,SAITAMAGUNMA_SAITAMA
DAISO,ニコモール新田店,36.30278,139.30226,群馬県太田市新田市野井町592-13ニコモールショッピングセンター内1階,shop4,SAITAMAGUNMA_SAITAMA
DAISO,"Standard Products イオンモール太田店",36.294,139.40022,"群馬県太田市石原町81 イオンモール太田店2階",shop4,SAITAMAGUNMA_SAITAMA
DAISO,イオンモール太田店,36.294,139.40022,"群馬県太田市石原町81 イオンモール太田店2階",shop4,SAITAMAGUNMA_SAITAMA
DAISO,とりせん太田大原店,36.35841,139.27942,群馬県太田市大原町1661-4,shop4,SAITAMAGUNMA_SAITAMA
DAISO,セイムス藪塚店,36.35516,139.29475,"群馬県太田市大原町456-1 セイムス藪塚店内",shop4,SAITAMAGUNMA_SAITAMA
DAISO,太田竜舞店,36.28252,139.40274,群馬県太田市内ケ島町2003番地,shop4,SAITAMAGUNMA_SAITAMA
DAISO,とりせん太田八幡町店,36.2991,139.36745,群馬県太田市八幡町26-4,shop4,SAITAMAGUNMA_SAITAMA
DAISO,フレッセイ太田飯塚店,36.2736231,139.3861308,群馬県太田市飯塚町681-1,shop4,SAITAMAGUNMA_SAITAMA
DAISO,フレスポ藤岡店,36.2762927,139.0762124,群馬県藤岡市森字台452-7フレスポ藤岡内,shop4,SAITAMAGUNMA_GUNMA
DAISO,フィール藤岡店,36.26118,139.07243,群馬県藤岡市中栗須390-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,コープ藤岡店,36.23668,139.07465,群馬県藤岡市藤岡2415-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,MEGAドン・キホーテUNY藤岡店,36.24589,139.08165,群馬県藤岡市藤岡416-4,shop4,SAITAMAGUNMA_GUNMA
DAISO,群馬富岡店,36.26289,138.8981,群馬県富岡市富岡2266-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォリオ富岡店,36.25042,138.89995,群馬県富岡市富岡501フォリオ富岡ショッピングセンター内,shop4,SAITAMAGUNMA_GUNMA
DAISO,フォリオ吉岡店,36.4183,139.02628,群馬県北群馬郡吉岡町大久保891-1,shop4,SAITAMAGUNMA_GUNMA
DAISO,ジョイフル本田千代田店,36.20558,139.47305,群馬県邑楽郡千代田町萱野813-1ジョイフル本田千代田店2階,shop4,SAITAMAGUNMA_SAITAMA
DAISO,ベイシア大泉店,36.2652603,139.4040367,"群馬県邑楽郡大泉町いずみ2-3086-50 ベイシア大泉店内",shop4,SAITAMAGUNMA_SAITAMA
