group,name,lat,lng,notes,icon,areaId
上州屋,奥戸店,35.73081,139.86899,東京都葛飾区奥戸6-2-1,shop2,TOKYO_HARUMI
上州屋,東陽町店,35.67616,139.81668,東京都江東区東陽7-5-4,shop2,TOKYO_HARUMI
上州屋,新橋駅前店,35.66631,139.7574,東京都港区新橋2-16-1ニュー新橋ビル2F,shop2,TOKYO_HARUMI
上州屋,三鷹東八店,35.68098,139.56747,東京都三鷹市新川6-23-24,shop2,TOKYO_OKUTAMA
上州屋,渋谷東口店,35.66074,139.703,東京都渋谷区渋谷1-15-21ポーラ渋谷ビルB1F,shop2,TOKYO_HARUMI
上州屋,新宿店,35.69669,139.70126,東京都新宿区歌舞伎町2-44-1東京都健康プラザハイジアB1F,shop2,TOKYO_HARUMI
上州屋,青梅河辺店,35.78345,139.29256,東京都青梅市河辺町8-2-8,shop2,TOKYO_OKUTAMA
上州屋,神田駅前店,35.69192,139.77194,東京都千代田区鍛冶町2-6-1堀内ビルB1F,shop2,TOKYO_HARUMI
上州屋,足立入谷店,35.80217,139.77077,東京都足立区入谷1-1,shop2,TOKYO_HARUMI
上州屋,足立平野店,35.78125,139.80357,東京都足立区平野1-4-3,shop2,TOKYO_HARUMI
上州屋,蒲田店,35.55894,139.71896,東京都大田区蒲田4-42-3イースタンコーポ蒲田1F,shop2,TOKYO_HARUMI
上州屋,東大和店,35.74726,139.41809,東京都東大和市蔵敷3-887,shop2,TOKYO_OKUTAMA
上州屋,八王子店,35.6834661,139.3450517,東京都八王子市左入町194-1,shop2,TOKYO_OKUTAMA
上州屋,池袋店,35.73281,139.7137,東京都豊島区東池袋1-43-6 D-BOX 2F,shop2,TOKYO_HARUMI
上州屋,練馬光が丘店,35.75791,139.62102,東京都練馬区高松5-12-1,shop2,TOKYO_HARUMI
タックルベリー,羽村店,35.77121,139.30818,東京都羽村市栄町2-10-30,shop2,TOKYO_OKUTAMA
タックルベリー,葛飾青戸店,35.74696,139.84485,東京都葛飾区白鳥2-14-12 白鳥ｻﾝｹｲｺｰﾎﾟ1F,shop2,TOKYO_HARUMI
タックルベリー,葛西店,35.65382,139.8728,東京都江戸川区南葛西2-2-3,shop2,TOKYO_HARUMI
タックルベリー,門前仲町永代通り店,35.67155,139.79623,東京都江東区富岡1-7-7,shop2,TOKYO_HARUMI
タックルベリー,国立店,35.68243,139.43968,東京都国立市谷保7174-1,shop2,TOKYO_OKUTAMA
