stationCode,nameJa,nameEn,lat,lng
0804,鹿島,KASHIMA,35.93,140.7
1202,銚子漁港,CHOSHI-GYOKO,35.75,140.87
1205,上総勝浦,KAZUSA-KATSUURA,35.13,140.25
1206,鴨川,KAMOGAWA,35.1,140.1
1208,布良,MERA,34.92,139.83
1212,君津,KIMITSU,35.35,139.87
1216,千葉灯標,CHIBA LIGHT,35.57,140.05
1218,船橋,FUNABASHI,35.68,139.98
1314,晴海,TOKYO-HARUMI,35.65,139.77
1403,横浜新港,YOKOHAMA,35.45,139.65
1407,横須賀,YOKOSUKA,35.28,139.65
1410,久里浜,KURIHAMA,35.23,139.72
1413,城ケ島,JO-GA-SHIMA,35.13,139.62
1419,江ノ島,E-NO-SHIMA,35.3,139.48
2219,熱海,ATAMI,35.08,139.08
